date,Open,High,Low,Close,adjClose,Volume,unadjustedVolume,change,changePercent,vwap,label,changeOverTime
2024-04-01,150.69,155.74,150.61,155.49,154.75,31730848,31730848,4.8,3.19,153.1325,"April 01, 24",0.0319
2024-04-02,153.5,154.7,152.15,154.56,153.82,24586000,24586000,1.06,0.69055,153.7275,"April 02, 24",0.0069055
2024-04-03,153.6,155.08,152.73,154.92,154.18,24705000,24705000,1.32,0.85937,154.0825,"April 03, 24",0.0085937
2024-04-04,153.5,154.77,150.45,150.53,149.81,34724738,34724738,-2.97,-1.93,152.3125,"April 04, 24",-0.0193
2024-04-05,150.03,153.42,149.6,152.5,151.77,23459246,23459246,2.47,1.65,151.3875,"April 05, 24",0.0165
2024-04-08,152.78,155.27,152.61,154.85,154.11,20702000,20702000,2.07,1.35,153.8775,"April 08, 24",0.0135
2024-04-09,156.09,158.56,155.19,156.6,155.85,31113013,31113013,0.515,0.32673,156.61,"April 09, 24",0.0032673
2024-04-10,156.21,156.61,154.68,156.14,155.4,22838629,22838629,-0.07,-0.04481147,155.91,"April 10, 24",-0.0004481147
2024-04-11,156.91,159.68,156.46,159.41,158.65,27166431,27166431,2.5,1.59,158.115,"April 11, 24",0.0159
2024-04-12,157.96,160.22,157.14,157.73,156.98,25353746,25353746,-0.23,-0.14561,158.2625,"April 12, 24",-0.0014561
2024-04-15,158.86,159.24,154.59,154.86,154.12,27136500,27136500,-4.0,-2.52,156.8875,"April 15, 24",-0.0252
2024-04-16,154.19,155.65,153.43,154.4,153.67,20779500,20779500,0.21,0.1362,154.4175,"April 16, 24",0.001362
2024-04-17,155.62,157.08,154.58,155.47,154.73,21763130,21763130,-0.15,-0.09638864,155.6875,"April 17, 24",-0.0009638864
2024-04-18,155.34,156.94,154.62,156.01,155.27,19883044,19883044,0.67,0.43131,155.7275,"April 18, 24",0.0043131
2024-04-19,156.2,156.36,152.3,154.09,153.36,32615639,32615639,-2.11,-1.35,154.7375,"April 19, 24",-0.0135
2024-04-22,154.31,157.64,154.06,156.28,155.54,26446206,26446206,1.97,1.28,155.5725,"April 22, 24",0.0128
2024-04-23,156.96,158.97,156.28,158.26,157.51,21151600,21151600,1.3,0.82824,157.6175,"April 23, 24",0.0082824
2024-04-24,157.49,159.57,157.17,159.13,158.37,22779112,22779112,1.64,1.04,158.34,"April 24, 24",0.0104
2024-04-25,151.33,156.49,150.87,156.0,155.26,57109730,57109730,4.67,3.09,153.6725,"April 25, 24",0.0309
2024-04-26,174.37,174.71,169.65,171.95,171.13,64665300,64665300,-2.42,-1.39,172.67,"April 26, 24",-0.0139
2024-04-29,169.06,169.55,165.21,166.15,165.36,45610024,45610024,-2.91,-1.72,167.4925,"April 29, 24",-0.0172
2024-04-30,165.61,168.1,162.6,162.78,162.01,33562900,33562900,-2.83,-1.71,164.7725,"April 30, 24",-0.0171
2024-05-01,164.3,167.12,163.09,163.86,163.08,33493200,33493200,-0.44,-0.2678,164.5925,"May 01, 24",-0.002678
2024-05-02,164.79,166.73,163.89,166.62,165.83,24294549,24294549,1.84,1.11,165.5075,"May 02, 24",0.0111
2024-05-03,167.56,167.96,163.05,167.24,166.44,34662432,34662432,-0.32,-0.19098,166.4525,"May 03, 24",-0.0019098
2024-05-06,167.46,168.14,166.03,168.1,167.3,21871300,21871300,0.64,0.38218,167.4325,"May 06, 24",0.0038218
2024-05-07,168.5,171.76,168.39,171.25,170.44,28039700,28039700,2.75,1.63,169.975,"May 07, 24",0.0163
2024-05-08,169.0,170.15,168.74,169.38,168.57,19569146,19569146,0.38,0.22485,169.3175,"May 08, 24",0.0022485
2024-05-09,169.39,170.69,168.18,169.96,169.15,15346700,15346700,0.57,0.3365,169.555,"May 09, 24",0.003365
2024-05-10,168.03,169.85,166.19,168.65,167.85,29799931,29799931,0.625,0.36898,168.18,"May 10, 24",0.0036898
2024-05-13,164.26,169.28,164.0,169.14,168.34,31327602,31327602,4.88,2.97,166.67,"May 13, 24",0.0297
2024-05-14,169.77,171.25,168.8,170.34,169.53,25127138,25127138,0.57,0.33575,170.04,"May 14, 24",0.0033575
2024-05-15,170.63,172.65,170.51,172.51,171.69,26948400,26948400,1.88,1.1,171.575,"May 15, 24",0.011
2024-05-16,173.29,175.12,172.69,174.18,173.35,27867947,27867947,0.89,0.51359,173.82,"May 16, 24",0.0051359
2024-05-17,174.18,176.27,173.69,176.06,175.22,24479300,24479300,1.88,1.08,175.05,"May 17, 24",0.0108
2024-05-20,176.19,178.77,176.08,176.92,176.08,22554400,22554400,0.728,0.41433,176.99,"May 20, 24",0.0041433
2024-05-21,176.9,178.15,175.81,177.85,177.0,16989400,16989400,0.95,0.53703,177.1775,"May 21, 24",0.0053703
2024-05-22,176.64,177.15,175.21,176.38,175.54,17880042,17880042,-0.264,-0.14719,176.345,"May 22, 24",-0.0014719
2024-05-23,177.07,178.25,172.95,173.55,172.72,21024935,21024935,-3.52,-1.99,175.455,"May 23, 24",-0.0199
2024-05-24,174.98,175.77,173.65,174.99,174.16,16579438,16579438,0.01,0.00571494,174.8475,"May 24, 24",5.71494e-05
2024-05-28,174.45,177.27,174.37,176.4,175.56,20572200,20572200,1.95,1.12,175.6225,"May 28, 24",0.0112
2024-05-29,175.43,176.84,174.72,175.9,175.06,23388700,23388700,0.47,0.26791,175.7225,"May 29, 24",0.0026791
2024-05-30,175.2,175.22,171.79,172.11,171.29,22958700,22958700,-3.09,-1.76,173.58,"May 30, 24",-0.0176
2024-05-31,171.86,173.06,169.44,172.5,171.68,37638900,37638900,0.64,0.3724,171.715,"May 31, 24",0.003724
2024-06-03,172.54,174.53,171.16,173.17,172.35,27459118,27459118,0.63,0.36513,172.85,"June 03, 24",0.0036513
2024-06-04,173.28,173.85,171.89,173.79,172.96,26879600,26879600,0.51,0.29432,173.2025,"June 04, 24",0.0029432
2024-06-05,175.2,176.65,173.93,175.41,174.58,22068519,22068519,0.21,0.11986,175.2975,"June 05, 24",0.0011986
2024-06-06,175.9,177.15,175.75,176.73,175.89,23251013,23251013,0.835,0.47186,176.3825,"June 06, 24",0.0047186
2024-06-07,177.05,177.87,174.3,174.46,173.63,19661400,19661400,-2.59,-1.46,175.92,"June 07, 24",-0.0146
2024-06-10,174.97,177.06,172.76,175.01,174.38,23779218,23779218,0.04,0.02286106,174.95,"June 10, 24",0.0002286106
2024-06-11,176.22,176.84,173.77,176.62,175.98,21540600,21540600,0.4,0.22699,175.8625,"June 11, 24",0.0022699
2024-06-12,178.25,180.41,176.11,177.79,177.15,27864737,27864737,-0.46,-0.25806,178.14,"June 12, 24",-0.0025806
2024-06-13,176.11,176.74,174.88,175.16,174.53,20913300,20913300,-0.95,-0.53944,175.7225,"June 13, 24",-0.0053944
2024-06-14,174.22,177.06,174.15,176.79,176.15,18063600,18063600,2.57,1.48,175.555,"June 14, 24",0.0148
2024-06-17,175.46,178.36,174.81,177.24,176.6,19618500,19618500,1.78,1.01,176.4675,"June 17, 24",0.0101
2024-06-18,177.14,177.39,174.1,175.09,174.46,21869900,21869900,-2.05,-1.16,175.93,"June 18, 24",-0.0116
2024-06-20,175.37,177.29,174.99,176.3,175.66,20160100,20160100,0.93,0.53031,175.9875,"June 20, 24",0.0053031
2024-06-21,177.0,180.85,176.61,179.63,178.98,58582743,58582743,2.63,1.49,178.5225,"June 21, 24",0.0149
2024-06-24,180.16,180.89,178.67,179.22,178.57,18298012,18298012,-0.94,-0.52176,179.735,"June 24, 24",-0.0052176
2024-06-25,179.62,184.29,179.42,184.03,183.36,23235600,23235600,4.41,2.46,181.84,"June 25, 24",0.0246
2024-06-26,182.63,184.51,182.48,183.88,183.22,19839000,19839000,1.25,0.68444,183.375,"June 26, 24",0.0068444
2024-06-27,184.18,186.05,184.02,185.41,184.74,18848900,18848900,1.23,0.66782,184.915,"June 27, 24",0.0066782
2024-06-28,184.32,185.13,181.96,182.15,181.49,29156644,29156644,-2.17,-1.18,183.39,"June 28, 24",-0.0118
2024-07-01,183.03,183.88,181.3,182.99,182.33,16006128,16006128,-0.04,-0.02185434,182.8,"July 01, 24",-0.0002185434
2024-07-02,182.05,185.57,181.56,185.24,184.57,17372500,17372500,3.19,1.75,183.605,"July 02, 24",0.0175
2024-07-03,184.85,186.09,184.0,185.82,185.15,10242126,10242126,0.97,0.52475,185.19,"July 03, 24",0.0052475
